sku,product_name,category,supplier_name,supplier_country,warehouse_zone,current_stock,reorder_point,days_inventory_remaining,recommended_order_qty,unit_cost,estimated_po_cost,stock_status
SKU-1407,Reciprocating Saw Heavy Duty - Part Series,Power Tools,"Mcclain, Miller and Henderson Corp",China,Aisle-B,78,270,24.5,462,361.44,166985.28,CRITICAL
SKU-1269,PEX-B Pipe 1/2in x 100ft - Spend Series,Plumbing,Spence PLC Supplies,Germany,Yard-Bulk,88,310,24.9,532,391.53,208293.96,CRITICAL
SKU-1170,Microfiber Roller Cover 9in - Beat Series,Paint & Supplies,"Hoffman, Baker and Richards Manufacturing",Japan,Aisle-D,82,350,24.9,618,259.35,160278.3,CRITICAL
SKU-1017,1/2in EMT Conduit 10ft - Discussion Series,Electrical,Blair PLC Industrial,Vietnam,Yard-Bulk,84,423,25.1,762,118.08,89976.96,CRITICAL
SKU-1002,18V Brushless Drill Kit - Hour Series,Power Tools,"Guzman, Hoffman and Baldwin Corp",Japan,Aisle-C,35,80,25.2,125,368.83,46103.75,CRITICAL
SKU-1320,Galvanized Hex Bolt Pack - Clear Series,Hardware & Fasteners,Frazier Inc Logistics,Japan,Aisle-D,78,272,25.2,466,25.35,11813.1,CRITICAL
SKU-1161,Polyurethane Clear Gloss 1-Qt - Call Series,Paint & Supplies,"Harris, Collins and Carney Industrial",Mexico,Yard-Bulk,88,180,25.6,272,151.66,41251.52,CRITICAL
SKU-1147,Cedar Shingle Bundle - Nice Series,Lumber & Composites,Frazier Inc Logistics,Japan,Aisle-D,93,374,25.8,655,34.33,22486.15,CRITICAL
SKU-1186,Polyurethane Clear Gloss 1-Qt - Catch Series,Paint & Supplies,George Group Corp,Canada,Bay-Racks,87,70,25.8,0,165.95,0.0,WARNING
SKU-1251,1/2in EMT Conduit 10ft - Protect Series,Electrical,Baker and Sons Corp,China,Aisle-D,82,450,25.9,818,132.55,108425.9,CRITICAL
SKU-1448,Circular Saw 7-1/4in - Care Series,Power Tools,Frazier Inc Logistics,Japan,Aisle-C,91,238,26.1,385,359.53,138419.05,CRITICAL
SKU-1441,Circular Saw 7-1/4in - Reflect Series,Power Tools,Hickman Ltd Industrial,Germany,Aisle-B,244,440,26.4,636,140.13,89122.68,CRITICAL
SKU-1055,Microfiber Roller Cover 9in - Land Series,Paint & Supplies,Rodriguez LLC Industrial,Germany,Yard-Bulk,85,232,26.6,379,147.27,55815.33,CRITICAL
SKU-1365,Submersible Sump Pump 1/2HP - Drive Series,Plumbing,Carlson-Cruz Corp,Germany,Bay-Racks,36,72,26.7,108,230.47,24890.76,CRITICAL
SKU-1172,Treated Deck Board 5/4x6 - Really Series,Lumber & Composites,Morales-Jones Corp,Canada,Yard-Bulk,241,264,26.8,287,53.38,15320.06,CRITICAL
SKU-1148,Padlock Laminated Steel - Coach Series,Hardware & Fasteners,Hickman Ltd Industrial,Germany,Aisle-C,91,240,27.1,389,35.5,13809.5,CRITICAL
SKU-1400,10-in Miter Saw - Former Series,Power Tools,Williams and Sons Logistics,Vietnam,Yard-Bulk,88,248,27.7,408,96.19,39245.52,CRITICAL
SKU-1330,Painter Tape Pro 1.88in - Itself Series,Paint & Supplies,Hickman Ltd Industrial,Germany,Yard-Bulk,95,160,30.3,225,247.05,55586.25,CRITICAL
SKU-1129,Rotary Hammer Drill SDS - Clear Series,Power Tools,"Ross, Robinson and Bright Corp",Canada,Aisle-D,277,330,31.1,383,103.95,39812.85,CRITICAL
SKU-1248,Reciprocating Saw Heavy Duty - Gun Series,Power Tools,Rodriguez-Graham Logistics,China,Aisle-B,47,176,33.1,305,249.89,76216.45,CRITICAL
SKU-1116,LED Shop Light 4ft 5000K - With Series,Electrical,Arnold Ltd Corp,China,Aisle-B,53,200,34.9,347,73.01,25334.47,CRITICAL
SKU-1337,Microfiber Roller Cover 9in - Word Series,Paint & Supplies,Rodriguez-Graham Logistics,China,Aisle-C,55,176,35.3,297,175.96,52260.12,CRITICAL
SKU-1438,Single-Pole Smart Switch - First Series,Electrical,"Rodriguez, Figueroa and Sanchez Industrial",China,Aisle-A,55,162,35.3,269,164.21,44172.49,CRITICAL
SKU-1051,Cedar Shingle Bundle - Bill Series,Lumber & Composites,Anderson Group Supplies,China,Aisle-B,58,117,36.3,176,60.76,10693.76,CRITICAL
SKU-1445,Interior Matte Paint 1-Gal - Same Series,Paint & Supplies,"Mcclure, Ward and Lee Industrial",China,Aisle-B,50,112,36.8,174,108.77,18925.98,CRITICAL
SKU-1490,Plywood Sheathing 4x8 - Record Series,Lumber & Composites,Spence PLC Supplies,Germany,Aisle-C,55,124,38.5,193,41.46,8001.78,CRITICAL
SKU-1257,Single-Pole Smart Switch - Western Series,Electrical,Anderson Group Supplies,China,Bay-Racks,53,117,38.7,181,200.71,36328.51,CRITICAL
SKU-1312,Padlock Laminated Steel - Health Series,Hardware & Fasteners,"Harris, Collins and Carney Industrial",Mexico,Aisle-B,362,360,39.6,0,19.2,0.0,WARNING
SKU-1110,Reciprocating Saw Heavy Duty - Artist Series,Power Tools,"Baker, Mason and White Corp",Japan,Aisle-C,385,609,41.6,833,300.68,250466.44,CRITICAL
SKU-1440,1/2in EMT Conduit 10ft - For Series,Electrical,Perez Inc Logistics,Vietnam,Aisle-A,386,960,42.3,1534,183.79,281933.86,CRITICAL
SKU-1381,3-in Deck Screws 5lb Box - Respond Series,Hardware & Fasteners,Anderson Group Supplies,China,Aisle-B,384,858,42.6,1332,44.22,58901.04,CRITICAL
SKU-1124,Plywood Sheathing 4x8 - Step Series,Lumber & Composites,Harrell LLC Supplies,Vietnam,Bay-Racks,395,874,42.8,1353,14.75,19956.75,CRITICAL
SKU-1461,Pressure Treated Post 4x4 - Into Series,Lumber & Composites,Spence PLC Supplies,Germany,Aisle-B,396,651,43.8,906,60.12,54468.72,CRITICAL
SKU-1410,Framing Nails 21-Degree 1000ct - Another Series,Hardware & Fasteners,Carlson-Cruz Corp,Germany,Yard-Bulk,420,480,45.4,540,44.57,24067.8,CRITICAL
SKU-1472,10-in Miter Saw - Real Series,Power Tools,"Dyer, Potter and Mack Supplies",Germany,Aisle-A,80,104,45.5,128,309.78,39651.84,CRITICAL
SKU-1200,Single-Pole Smart Switch - Black Series,Electrical,"Martin, Rose and Obrien Logistics",China,Aisle-C,152,320,46.2,488,94.67,46198.96,CRITICAL
SKU-1059,1/2in EMT Conduit 10ft - Shoulder Series,Electrical,"Martin, Rose and Obrien Logistics",China,Aisle-C,438,920,47.0,1402,177.72,249163.44,CRITICAL
SKU-1451,Treated Deck Board 5/4x6 - Red Series,Lumber & Composites,Frazier Inc Logistics,Japan,Aisle-D,182,374,47.3,566,61.67,34905.22,CRITICAL
SKU-1159,Submersible Sump Pump 1/2HP - Easy Series,Plumbing,Hickman Ltd Industrial,Germany,Aisle-D,166,220,47.7,274,238.67,65395.58,CRITICAL
SKU-1369,Brass Ball Valve 3/4in - Data Series,Plumbing,Hickman Ltd Industrial,Germany,Aisle-C,445,380,48.1,0,424.99,0.0,WARNING
SKU-1454,Reciprocating Saw Heavy Duty - Research Series,Power Tools,Baker and Sons Corp,China,Yard-Bulk,71,200,48.6,329,371.8,122322.2,CRITICAL
SKU-1005,Brass Ball Valve 3/4in - Nation Series,Plumbing,Perez Inc Logistics,Vietnam,Bay-Racks,444,1056,48.6,1668,56.14,93641.52,CRITICAL
SKU-1457,Single-Pole Smart Switch - Contain Series,Electrical,Harrell LLC Supplies,Vietnam,Bay-Racks,456,1058,49.2,1660,25.57,42446.2,CRITICAL
SKU-1273,12/2 NM-B Wire 250ft - Color Series,Electrical,"Guzman, Hoffman and Baldwin Corp",Japan,Aisle-A,67,60,49.6,0,176.79,0.0,WARNING
SKU-1406,Rotary Hammer Drill SDS - We Series,Power Tools,"Mcclain, Miller and Henderson Corp",China,Aisle-C,84,150,49.7,216,315.64,68178.24,CRITICAL
SKU-1354,Cedar Shingle Bundle - Many Series,Lumber & Composites,Smith-Bowen Industrial,Japan,Aisle-A,437,476,49.7,515,23.09,11891.35,CRITICAL
SKU-1475,18V Brushless Drill Kit - Letter Series,Power Tools,"Ferrell, Rice and Maddox Industrial",Japan,Yard-Bulk,177,299,50.1,421,305.59,128653.39,CRITICAL
SKU-1103,18V Brushless Drill Kit - Investment Series,Power Tools,Hickman Ltd Industrial,Germany,Bay-Racks,172,180,50.7,188,168.98,31768.24,CRITICAL
SKU-1447,200A Main Breaker Panel - Once Series,Electrical,Gray-Mayo Supplies,Japan,Aisle-A,64,87,51.2,110,133.38,14671.8,CRITICAL
SKU-1368,1/2in EMT Conduit 10ft - Receive Series,Electrical,Blake and Sons Logistics,Japan,Aisle-A,77,76,52.4,0,73.58,0.0,WARNING
SKU-1058,200A Main Breaker Panel - Treat Series,Electrical,"Mcclure, Ward and Lee Industrial",China,Aisle-D,480,504,52.5,528,110.32,58248.96,CRITICAL
SKU-1069,200A Main Breaker Panel - Such Series,Electrical,"Romero, Gonzalez and Brooks Industrial",Japan,Yard-Bulk,465,544,52.7,623,209.76,130680.48,CRITICAL
SKU-1208,Single-Pole Smart Switch - Happy Series,Electrical,"Mcclure, Ward and Lee Industrial",China,Bay-Racks,193,336,54.1,479,29.07,13924.53,CRITICAL
SKU-1307,200A Main Breaker Panel - Develop Series,Electrical,"Ferrell, Rice and Maddox Industrial",Japan,Aisle-A,188,184,54.3,0,28.87,0.0,WARNING
SKU-1446,Plywood Sheathing 4x8 - Find Series,Lumber & Composites,Anderson Group Supplies,China,Aisle-D,84,195,54.5,306,36.72,11236.32,CRITICAL
SKU-1068,Brass Ball Valve 3/4in - Group Series,Plumbing,Rodriguez-Graham Logistics,China,Aisle-A,75,132,55.1,189,387.06,73154.34,CRITICAL
SKU-1391,Microfiber Roller Cover 9in - Partner Series,Paint & Supplies,Galloway-Wyatt Industrial,Vietnam,Aisle-A,84,188,55.6,292,161.35,47114.2,CRITICAL
SKU-1453,1/2in EMT Conduit 10ft - Hundred Series,Electrical,Spence PLC Supplies,Germany,Aisle-D,197,310,56.4,423,64.4,27241.2,CRITICAL
SKU-1249,Microfiber Roller Cover 9in - Democrat Series,Paint & Supplies,"Mcclain, Miller and Henderson Corp",China,Bay-Racks,75,90,56.4,105,25.24,2650.2,CRITICAL
SKU-1399,Microfiber Roller Cover 9in - Stop Series,Paint & Supplies,"Baker, Mason and White Corp",Japan,Aisle-D,195,290,56.9,385,41.73,16066.05,CRITICAL
SKU-1467,Polyurethane Clear Gloss 1-Qt - Develop Series,Paint & Supplies,"Baker, Mason and White Corp",Japan,Aisle-D,201,261,57.1,321,11.1,3563.1,CRITICAL
SKU-1038,Galvanized Hex Bolt Pack - Several Series,Hardware & Fasteners,Perez Inc Logistics,Vietnam,Aisle-D,552,864,57.3,1176,32.6,38337.6,CRITICAL
SKU-1263,Microfiber Roller Cover 9in - Land Series,Paint & Supplies,Perez Inc Logistics,Vietnam,Bay-Racks,493,1200,57.7,1907,208.47,397552.29,CRITICAL
SKU-1030,Single-Pole Smart Switch - My Series,Electrical,Spence PLC Supplies,Germany,Aisle-B,518,589,57.7,660,70.83,46747.8,CRITICAL
SKU-1443,Plywood Sheathing 4x8 - General Series,Lumber & Composites,"Mcclain, Miller and Henderson Corp",China,Aisle-A,195,240,59.1,285,19.75,5628.75,CRITICAL
SKU-1114,Airless Paint Sprayer - In Series,Paint & Supplies,Arnold Ltd Corp,China,Aisle-D,95,160,59.4,225,247.57,55703.25,CRITICAL
SKU-1432,Polyurethane Clear Gloss 1-Qt - Former Series,Paint & Supplies,Perez Inc Logistics,Vietnam,Bay-Racks,206,432,60.1,658,153.31,100877.98,CRITICAL
SKU-1029,Plywood Sheathing 4x8 - Avoid Series,Lumber & Composites,"Martin, Rose and Obrien Logistics",China,Aisle-B,209,440,60.1,671,23.07,15479.97,CRITICAL
SKU-1154,Microfiber Roller Cover 9in - Authority Series,Paint & Supplies,Burton Ltd Manufacturing,Vietnam,Aisle-C,200,464,60.4,728,112.12,81623.36,CRITICAL
SKU-1123,Plywood Sheathing 4x8 - Side Series,Lumber & Composites,"Reid, Ferguson and Sanchez Logistics",Germany,Aisle-D,208,279,61.7,350,16.5,5775.0,CRITICAL
SKU-1363,1/2in EMT Conduit 10ft - Stuff Series,Electrical,Blair PLC Industrial,Vietnam,Aisle-A,202,470,62.3,738,65.9,48634.2,CRITICAL
SKU-1370,Water Heater 40-Gal Natural Gas - Inside Series,Plumbing,Rodriguez-Graham Logistics,China,Aisle-B,552,880,62.4,1208,33.17,40069.36,CRITICAL
SKU-1097,Padlock Laminated Steel - Better Series,Hardware & Fasteners,"Ferrell, Rice and Maddox Industrial",Japan,Aisle-D,216,184,62.8,0,22.71,0.0,WARNING
SKU-1091,Water Heater 40-Gal Natural Gas - Billion Series,Plumbing,Harrell LLC Supplies,Vietnam,Bay-Racks,580,920,63.0,1260,370.91,467346.6,CRITICAL
SKU-1463,Framing Nails 21-Degree 1000ct - These Series,Hardware & Fasteners,"Reid, Ferguson and Sanchez Logistics",Germany,Aisle-C,244,341,63.4,438,24.18,10590.84,CRITICAL
SKU-1311,Cedar Shingle Bundle - Board Series,Lumber & Composites,"Mcclain, Miller and Henderson Corp",China,Aisle-C,215,270,63.6,325,49.91,16220.75,CRITICAL
SKU-1011,2x4x8 Prime Framing Stud - Ground Series,Lumber & Composites,Blair PLC Industrial,Vietnam,Aisle-B,590,893,64.6,1196,60.8,72716.8,CRITICAL
SKU-1032,Water Heater 40-Gal Natural Gas - Family Series,Plumbing,"Gardner, Robinson and Lawrence Corp",China,Aisle-D,599,920,68.0,1241,435.7,540703.7,CRITICAL
SKU-1423,Submersible Sump Pump 1/2HP - Religious Series,Plumbing,Burton Ltd Manufacturing,Vietnam,Aisle-C,617,1276,68.0,1935,186.86,361574.1,CRITICAL
SKU-1480,2x4x8 Prime Framing Stud - Material Series,Lumber & Composites,"Romero, Gonzalez and Brooks Industrial",Japan,Aisle-B,225,224,68.2,0,37.89,0.0,WARNING
SKU-1092,Interior Matte Paint 1-Gal - Apply Series,Paint & Supplies,"Reid, Ferguson and Sanchez Logistics",Germany,Aisle-D,245,279,68.4,313,203.78,63783.14,CRITICAL
SKU-1112,200A Main Breaker Panel - Hundred Series,Electrical,"Reid, Ferguson and Sanchez Logistics",Germany,Bay-Racks,631,713,68.9,795,87.12,69260.4,CRITICAL
SKU-1494,Pressure Treated Post 4x4 - Better Series,Lumber & Composites,Harrell LLC Supplies,Vietnam,Aisle-C,618,828,70.3,1038,21.23,22036.74,CRITICAL
SKU-1347,12/2 NM-B Wire 250ft - Store Series,Electrical,"Reid, Ferguson and Sanchez Logistics",Germany,Bay-Racks,235,248,70.4,261,185.44,48399.84,CRITICAL
SKU-1018,Cedar Shingle Bundle - Account Series,Lumber & Composites,Harrell LLC Supplies,Vietnam,Aisle-B,229,368,70.9,507,12.57,6372.99,CRITICAL
SKU-1226,Galvanized Hex Bolt Pack - Region Series,Hardware & Fasteners,"Gardner, Robinson and Lawrence Corp",China,Aisle-C,241,368,71.3,495,32.79,16231.05,CRITICAL
SKU-1459,LED Shop Light 4ft 5000K - Outside Series,Electrical,"Watts, Robinson and Nguyen Industrial",Vietnam,Yard-Bulk,645,851,72.2,1057,59.49,62880.93,CRITICAL
SKU-1231,Cedar Shingle Bundle - Record Series,Lumber & Composites,Burton Ltd Manufacturing,Vietnam,Aisle-D,241,522,72.2,803,36.92,29646.76,CRITICAL
SKU-1254,PEX-B Pipe 1/2in x 100ft - Mouth Series,Plumbing,Frazier Inc Logistics,Japan,Aisle-D,251,272,73.4,293,125.87,36879.91,CRITICAL
SKU-1238,Cedar Shingle Bundle - Voice Series,Lumber & Composites,"Watts, Robinson and Nguyen Industrial",Vietnam,Aisle-C,690,777,75.4,864,20.26,17504.64,CRITICAL
SKU-1375,LED Shop Light 4ft 5000K - Spring Series,Electrical,"Mcclain, Miller and Henderson Corp",China,Aisle-A,678,750,76.1,822,97.28,79964.16,CRITICAL
SKU-1160,1/2in EMT Conduit 10ft - International Series,Electrical,Arnold Ltd Corp,China,Aisle-D,253,400,76.9,547,108.35,59267.45,CRITICAL
SKU-1041,Framing Nails 21-Degree 1000ct - Own Series,Hardware & Fasteners,Galloway-Wyatt Industrial,Vietnam,Bay-Racks,707,893,78.6,1079,37.29,40235.91,CRITICAL
SKU-1364,Padlock Laminated Steel - Try Series,Hardware & Fasteners,Blair PLC Industrial,Vietnam,Yard-Bulk,287,423,79.9,559,34.12,19073.08,CRITICAL
SKU-1043,Brass Ball Valve 3/4in - Material Series,Plumbing,Perez Inc Logistics,Vietnam,Bay-Racks,767,864,82.5,961,105.4,101289.4,CRITICAL
SKU-1324,Reciprocating Saw Heavy Duty - Treatment Series,Power Tools,Perez Inc Logistics,Vietnam,Aisle-B,285,480,83.3,675,192.14,129694.5,CRITICAL
SKU-1101,Padlock Laminated Steel - Economic Series,Hardware & Fasteners,Burton Ltd Manufacturing,Vietnam,Aisle-A,753,1334,83.4,1915,37.52,71850.8,CRITICAL
SKU-1168,Airless Paint Sprayer - Among Series,Paint & Supplies,Spence PLC Supplies,Germany,Aisle-C,782,713,84.6,0,103.14,0.0,WARNING
SKU-1341,LED Shop Light 4ft 5000K - Treat Series,Electrical,Rodriguez-Graham Logistics,China,Aisle-C,298,396,87.1,494,90.63,44771.22,CRITICAL
SKU-1014,Framing Nails 21-Degree 1000ct - Once Series,Hardware & Fasteners,Rodriguez-Graham Logistics,China,Bay-Racks,315,352,93.2,389,33.17,12903.13,CRITICAL
SKU-1079,Submersible Sump Pump 1/2HP - Cover Series,Plumbing,Harrell LLC Supplies,Vietnam,Aisle-C,369,506,96.9,643,361.84,232663.12,CRITICAL
SKU-1439,Treated Deck Board 5/4x6 - Movement Series,Lumber & Composites,"Hoffman, Baker and Richards Manufacturing",Japan,Aisle-A,352,385,98.3,418,34.39,14375.02,CRITICAL
SKU-1228,Rotary Hammer Drill SDS - Once Series,Power Tools,Rodriguez-Graham Logistics,China,Yard-Bulk,334,440,100.0,546,99.13,54124.98,CRITICAL
SKU-1052,Polyurethane Clear Gloss 1-Qt - Reason Series,Paint & Supplies,Rodriguez LLC Industrial,Germany,Yard-Bulk,321,261,100.0,0,99.15,0.0,WARNING
SKU-1419,Galvanized Hex Bolt Pack - Serve Series,Hardware & Fasteners,"Reid, Ferguson and Sanchez Logistics",Germany,Yard-Bulk,332,310,102.2,0,8.42,0.0,WARNING
SKU-1402,PEX-B Pipe 1/2in x 100ft - Police Series,Plumbing,Rodriguez-Graham Logistics,China,Bay-Racks,163,220,103.8,277,330.8,91631.6,CRITICAL
SKU-1230,PEX-B Pipe 1/2in x 100ft - Work Series,Plumbing,Perez Inc Logistics,Vietnam,Aisle-A,374,432,110.3,490,465.21,227952.9,CRITICAL
SKU-1387,Polyurethane Clear Gloss 1-Qt - Business Series,Paint & Supplies,Burton Ltd Manufacturing,Vietnam,Bay-Racks,397,464,111.2,531,110.83,58850.73,CRITICAL
SKU-1321,3-in Deck Screws 5lb Box - Wish Series,Hardware & Fasteners,Harrell LLC Supplies,Vietnam,Aisle-A,385,460,115.3,535,34.36,18382.6,CRITICAL
SKU-1184,Rotary Hammer Drill SDS - Evidence Series,Power Tools,Arnold Ltd Corp,China,Bay-Racks,209,200,118.1,0,335.82,0.0,WARNING
SKU-1356,200A Main Breaker Panel - Decision Series,Electrical,Galloway-Wyatt Industrial,Vietnam,Bay-Racks,415,423,118.6,431,146.59,63180.29,CRITICAL
SKU-1107,12/2 NM-B Wire 250ft - Treatment Series,Electrical,Galloway-Wyatt Industrial,Vietnam,Aisle-C,447,470,120.2,493,120.91,59608.63,CRITICAL
SKU-1392,Padlock Laminated Steel - Evidence Series,Hardware & Fasteners,"Reid, Ferguson and Sanchez Logistics",Germany,Bay-Racks,404,341,123.5,0,17.64,0.0,WARNING
SKU-1105,Water Heater 40-Gal Natural Gas - Medical Series,Plumbing,James Group Logistics,China,Aisle-C,172,175,124.6,178,97.1,17283.8,CRITICAL
SKU-1332,Microfiber Roller Cover 9in - Country Series,Paint & Supplies,"Martin, Rose and Obrien Logistics",China,Aisle-C,442,480,133.5,518,70.15,36337.7,CRITICAL
SKU-1214,Painter Tape Pro 1.88in - Feel Series,Paint & Supplies,Burton Ltd Manufacturing,Vietnam,Aisle-C,465,522,136.8,579,140.1,81117.9,CRITICAL
SKU-1403,Reciprocating Saw Heavy Duty - Much Series,Power Tools,Burton Ltd Manufacturing,Vietnam,Aisle-B,521,580,149.3,639,288.27,184204.53,CRITICAL
SKU-1151,10-in Miter Saw - Be Series,Power Tools,Baker and Sons Corp,China,Aisle-C,249,300,164.9,351,179.13,62874.63,CRITICAL
SKU-1277,Painter Tape Pro 1.88in - Season Series,Paint & Supplies,"Gardner, Robinson and Lawrence Corp",China,Aisle-D,618,552,180.7,0,39.62,0.0,WARNING
SKU-1393,Galvanized Hex Bolt Pack - American Series,Hardware & Fasteners,Burton Ltd Manufacturing,Vietnam,Aisle-C,692,580,198.3,0,32.92,0.0,WARNING
SKU-1352,10-in Miter Saw - American Series,Power Tools,Harrell LLC Supplies,Vietnam,Bay-Racks,354,368,202.3,382,290.14,110833.48,CRITICAL
SKU-1386,18V Brushless Drill Kit - Ahead Series,Power Tools,Baker and Sons Corp,China,Aisle-D,304,250,218.7,0,220.69,0.0,WARNING
